"user_id","event_timestamp","gender","first_name","last_name","dob_age","email","cell","picture_large","user_id-2","event_timestamp-2","street_number","street_name","city","state","country","postcode"
1,"2024-01-07 19:58:00","male","Alfred","Mortensen",31,"alfred.mortensen@example.com","96363030","https://randomuser.me/api/portraits/men/31.jpg",1,"2024-01-07 19:58:00",6162,"Lykkegårdsvej","Nr Åby","Sjælland","Denmark","11976"
2,"2024-01-07 19:58:00","male","Tom","Richardson",62,"tom.richardson@example.com","07685 503000","https://randomuser.me/api/portraits/men/64.jpg",2,"2024-01-07 19:58:00",2143,"Stanley Road","Bangor","Lancashire","United Kingdom","YB49 1NW"
3,"2024-01-07 19:58:00","male","Deniz","Yazıcı",59,"deniz.yazici@example.com","(750)-849-6966","https://randomuser.me/api/portraits/men/40.jpg",3,"2024-01-07 19:58:00",2016,"Filistin Cd","Antalya","Bolu","Turkey","77523"
4,"2024-01-07 19:58:00","male","Téo","Leclerc",70,"teo.leclerc@example.com","06-80-33-55-04","https://randomuser.me/api/portraits/men/3.jpg",4,"2024-01-07 19:58:00",1721,"Place du 8 Février 1962","Brest","Pas-de-Calais","France","42879"
5,"2024-01-07 19:58:00","male","Gleb","Atroshenko",50,"gleb.atroshenko@example.com","(066) I23-7886","https://randomuser.me/api/portraits/men/18.jpg",5,"2024-01-07 19:58:00",4117,"Novgorodska","Bolgrad","Luganska","Ukraine","79252"
6,"2024-01-07 19:58:00","male","Todd","White",50,"todd.white@example.com","07687 516860","https://randomuser.me/api/portraits/men/75.jpg",6,"2024-01-07 19:58:00",6556,"The Avenue","Liverpool","Gloucestershire","United Kingdom","A5 5FG"
7,"2024-01-07 19:58:00","female","Mônica","Almeida",28,"monica.almeida@example.com","(24) 1187-3428","https://randomuser.me/api/portraits/women/19.jpg",7,"2024-01-07 19:58:00",1514,"Rua Pará ","Rio Branco","Paraíba","Brazil","74354"
8,"2024-01-07 19:58:00","female","Evie","Thomas",45,"evie.thomas@example.com","(208)-073-5520","https://randomuser.me/api/portraits/women/87.jpg",8,"2024-01-07 19:58:00",9189,"Bank Street","Porirua","Manawatu-Wanganui","New Zealand","15734"
9,"2024-01-07 19:58:00","male","Hakan","Buijnsters",28,"hakan.buijnsters@example.com","(06) 72227545","https://randomuser.me/api/portraits/men/25.jpg",9,"2024-01-07 19:58:00",716,"Johan van Welveldelaan","Streefkerk","Zeeland","Netherlands","7553 RH"
10,"2024-01-07 19:58:00","male","Álvaro","Moya",28,"alvaro.moya@example.com","641-902-399","https://randomuser.me/api/portraits/men/4.jpg",10,"2024-01-07 19:58:00",3209,"Avenida de La Albufera","La Palma","Cataluña","Spain","33165"
11,"2024-01-07 20:00:00","male","Eldar","Myrene",46,"eldar.myrene@example.com","98719224","https://randomuser.me/api/portraits/men/43.jpg",11,"2024-01-07 20:00:00",7803,"Holmendammen terrasse","Ulsteinvik","Møre og Romsdal","Norway","3178"
12,"2024-01-07 20:00:00","male","Toivo","Saari",57,"toivo.saari@example.com","043-794-52-08","https://randomuser.me/api/portraits/men/43.jpg",12,"2024-01-07 20:00:00",8613,"Hämeentie","Vaasa","Northern Ostrobothnia","Finland","44311"
13,"2024-01-07 20:00:00","male","Jimi","Laurila",50,"jimi.laurila@example.com","048-878-86-28","https://randomuser.me/api/portraits/men/54.jpg",13,"2024-01-07 20:00:00",4666,"Pyynikintie","Kalajoki","North Karelia","Finland","89727"
14,"2024-01-07 20:00:00","female","Marivana","Oliveira",53,"marivana.oliveira@example.com","(57) 0975-8069","https://randomuser.me/api/portraits/women/66.jpg",14,"2024-01-07 20:00:00",2650,"Rua Dezenove de Outubro","Itapecerica da Serra","São Paulo","Brazil","80712"
15,"2024-01-07 20:00:00","female","Axelle","Gerard",43,"axelle.gerard@example.com","06-42-13-71-01","https://randomuser.me/api/portraits/women/23.jpg",15,"2024-01-07 20:00:00",4266,"Rue Abel-Ferry","Versailles","Isère","France","75057"
16,"2024-01-07 20:00:00","female","Özsu","Numanoğlu",67,"ozsu.numanoglu@example.com","(925)-258-2739","https://randomuser.me/api/portraits/women/46.jpg",16,"2024-01-07 20:00:00",5448,"Fatih Sultan Mehmet Cd","Aydın","Mardin","Turkey","35546"
17,"2024-01-07 20:00:00","male","Alexander","Jørgensen",37,"alexander.jorgensen@example.com","03516271","https://randomuser.me/api/portraits/men/92.jpg",17,"2024-01-07 20:00:00",1781,"Nørreskovvej","Aarhus","Sjælland","Denmark","44838"
18,"2024-01-07 20:00:00","male","Joseph","Wright",62,"joseph.wright@example.com","(549)-261-0457","https://randomuser.me/api/portraits/men/50.jpg",18,"2024-01-07 20:00:00",3976,"Grove Road","New Plymouth","West Coast","New Zealand","24309"
19,"2024-01-07 20:00:00","female","Sapthashree","Shenoy",36,"sapthashree.shenoy@example.com","9225318048","https://randomuser.me/api/portraits/women/94.jpg",19,"2024-01-07 20:00:00",9308,"Chimanlal Girdharlal Rd","Bijapur","Tamil Nadu","India","48538"
20,"2024-01-07 20:00:00","male","Ludvig","Juul",24,"ludvig.juul@example.com","92073366","https://randomuser.me/api/portraits/men/5.jpg",20,"2024-01-07 20:00:00",1584,"Kleiva","Stange","Sør-Trøndelag","Norway","7608"
21,"2024-01-07 20:00:00","male","Sérgio","Garcia",39,"sergio.garcia@example.com","075 169 07 16","https://randomuser.me/api/portraits/men/29.jpg",21,"2024-01-07 20:00:00",385,"Rue des Écoles","Beinwil (So)","Aargau","Switzerland","3030"
22,"2024-01-07 20:00:00","female","Sofia","Jørgensen",31,"sofia.jorgensen@example.com","58192467","https://randomuser.me/api/portraits/women/15.jpg",22,"2024-01-07 20:00:00",6664,"Skovstjernevej","Haslev","Hovedstaden","Denmark","51142"
23,"2024-01-07 20:00:00","male","Edvald","Rosland",42,"edvald.rosland@example.com","92438112","https://randomuser.me/api/portraits/men/95.jpg",23,"2024-01-07 20:00:00",1979,"Ammerudhellinga","Vatne","Vest-Agder","Norway","6391"
24,"2024-01-07 20:00:00","female","Nurdan","Aykaç",62,"nurdan.aykac@example.com","(491)-199-5808","https://randomuser.me/api/portraits/women/33.jpg",24,"2024-01-07 20:00:00",1699,"Mevlana Cd","Siirt","Osmaniye","Turkey","52319"
25,"2024-01-07 20:00:00","female","Christelle","Denis",53,"christelle.denis@example.com","075 986 88 94","https://randomuser.me/api/portraits/women/40.jpg",25,"2024-01-07 20:00:00",131,"Rue des Cuirassiers","Wigoltingen","St. Gallen","Switzerland","5934"
26,"2024-01-07 20:00:00","male","Bernard","Louis",42,"bernard.louis@example.com","076 281 11 94","https://randomuser.me/api/portraits/men/71.jpg",26,"2024-01-07 20:00:00",9898,"Place des 44 Enfants D'Izieu","Montanaire","Graubünden","Switzerland","9395"
